,Código,Provincia,Urbano,Rural,Sí lee y escribe,No lee ni escribe
91,1004,"Huánuco, provincia: Huacaybamba",2636,13915,12137,3480
92,1005,"Huánuco, provincia: Huamalíes",14643,37396,40737,8469
93,1006,"Huánuco, provincia: Leoncio Prado",89945,37848,104091,17003
94,1007,"Huánuco, provincia: Marañón",7861,18761,19820,5203
95,1008,"Huánuco, provincia: Pachitea",13504,35655,33872,12264
96,1009,"Huánuco, provincia: Puerto Inca",7394,25144,25379,4927
97,1010,"Huánuco, provincia: Lauricocha",2337,16576,15747,2227
98,1011,"Huánuco, provincia: Yarowilca",0,19897,14803,4153
99,1101,"Ica, provincia: Ica",370323,21196,342988,28858
100,1102,"Ica, provincia: Chincha",210075,16038,194662,18511
101,1103,"Ica, provincia: Nazca",60399,8758,59782,5922
102,1104,"Ica, provincia: Palpa",6912,6320,11271,1339
103,1105,"Ica, provincia: Pisco",138708,12036,128945,13165
104,1201,"Junín, provincia: Huancayo",503674,41941,470119,49110
105,1202,"Junín, provincia: Concepción",26937,28654,45726,7049
106,1203,"Junín, provincia: Chanchamayo",101309,50180,125211,18227
107,1204,"Junín, provincia: Jauja",40864,42393,70310,9136
108,1205,"Junín, provincia: Junín",16567,6566,18667,3299
109,1206,"Junín, provincia: Satipo",68905,135080,157582,31504
110,1207,"Junín, provincia: Tarma",62539,27051,75147,10192
111,1208,"Junín, provincia: Yauli",31778,8612,35993,2744
112,1209,"Junín, provincia: Chupaca",32355,20633,44669,5753
113,1301,"La Lbertad, provincia: Trujillo",947975,22041,842936,79945
114,1302,"La Lbertad, provincia: Ascope",103633,12153,99353,10843
115,1303,"La Lbertad, provincia: Bolívar",0,14457,11143,2360
116,1304,"La Lbertad, provincia: Chepén",68974,9444,66211,8516
117,1305,"La Lbertad, provincia: Julcán",2846,25178,21647,4631
118,1306,"La Lbertad, provincia: Otuzco",19338,58524,60172,13201
119,1307,"La Lbertad, provincia: Pacasmayo",97240,5657,87213,10603
120,1308,"La Lbertad, provincia: Pataz",17074,59029,57321,14101
121,1309,"La Lbertad, provincia: Sánchez Carrión",48305,96100,101038,33040
122,1310,"La Lbertad, provincia: Santiago de Chuco",16852,34044,39720,8057
123,1311,"La Lbertad, provincia: Gran Chimú",4688,22204,21527,3963
124,1312,"La Lbertad, provincia: Virú",76630,15694,73791,12546
125,1401,"Lambayeque, provincia: Chiclayo",758872,40803,693969,68697
126,1402,"Lambayeque, provincia: Ferreñafe",55448,41967,76321,15386
127,1403,"Lambayeque, provincia: Lambayeque",156801,143369,242762,38204
128,1501,"Lima, provincia: Lima",8567786,7188,7674911,542649
129,1502,"Lima, provincia: Barranca",130824,13557,123422,13890
130,1503,"Lima, provincia: Cajatambo",0,6559,5426,866
131,1504,"Lima, provincia: Canta",6037,5511,9968,1084
132,1505,"Lima, provincia: Cañete",216285,23728,206780,20236
133,1506,"Lima, provincia: Huaral",161415,22483,158496,16702
134,1507,"Lima, provincia: Huarochirí",27140,31005,50691,4831
135,1508,"Lima, provincia: Huaura",205046,22639,196848,19420
136,1509,"Lima, provincia: Oyón",10263,7476,15002,1905
137,1510,"Lima, provincia: Yauyos",0,20463,17912,1825
138,1601,"Loreto, provincia: Maynas",405630,74236,399845,53119
139,1602,"Loreto, provincia: Alto Amazonas",83584,39141,93836,19974
140,1603,"Loreto, provincia: Loreto",23370,39067,44986,12635
141,1604,"Loreto, provincia: Mariscal Ramón Castilla",17631,31441,36758,8690
142,1605,"Loreto, provincia: Requena",33973,24538,44822,9314
143,1606,"Loreto, provincia: Ucayali",28185,26452,43072,7717
144,1607,"Loreto, provincia: Datem del Marañón",11314,37168,33219,10991
145,1608,"Loreto, provincia: Putumayo",3056,4724,5906,1298
146,1701,Madre de Dios prov. de Tambopata,102117,9357,93728,11332
147,1702,Madre de Dios prov. de Manu,9105,9444,14970,2435
148,1703,Madre de Dios prov. de Tahuamanu,5521,5526,9223,1193
149,1801,"Moquegua, provincia: Mariscal Nieto",75316,10033,74094,7678
150,1802,"Moquegua, provincia: General Sánchez Cerro",2326,12539,12651,1669
151,1803,"Moquegua, provincia: Ilo",74249,400,66057,5321
152,1901,"Pasco, provincia: Pasco",102168,20847,104574,12284
153,1902,"Pasco, provincia: Daniel Alcides Carrión",14867,28713,36298,5720
154,1903,"Pasco, provincia: Oxapampa",43234,44236,69652,12652
155,2001,"Piura, provincia: Piura",707318,92003,665216,91005
156,2002,"Piura, provincia: Ayabaca",14959,104328,87448,24805
157,2003,"Piura, provincia: Huancabamba",17208,94293,80059,25076
158,2004,"Piura, provincia: Morropón",102916,59111,128192,25163
159,2005,"Piura, provincia: Paita",124977,4915,107453,14371
160,2006,"Piura, provincia: Sullana",287278,24176,261893,33877
161,2007,"Piura, provincia: Talara",141953,2197,125260,11511
162,2008,"Piura, provincia: Sechura",75224,3953,64360,8976
163,2101,"Puno, provincia: Puno",138912,80582,184688,25867
164,2102,"Puno, provincia: Azángaro",33569,76823,86705,18564
165,2103,"Puno, provincia: Carabaya",32906,40416,58288,11436
166,2104,"Puno, provincia: Chucuito",24161,64841,73681,12004
167,2105,"Puno, provincia: El Collao",21838,42040,51167,10508
168,2106,"Puno, provincia: Huancané",7714,49937,44836,10671
169,2107,"Puno, provincia: Lampa",13232,27624,33169,5732
170,2108,"Puno, provincia: Melgar",36425,30713,54905,9310
171,2109,"Puno, provincia: Moho",3257,16496,15478,3717
172,2110,"Puno, provincia: San Antonio de Putina",24333,11780,29977,4700
173,2111,"Puno, provincia: San Román",278532,28885,263029,29207
174,2112,"Puno, provincia: Sandia",4003,46739,41035,7369
175,2113,"Puno, provincia: Yunguyo",11766,25173,28404,7281
176,2201,"San Martín, provincia: Moyobamba",86221,36144,98955,16478
177,2202,"San Martín, provincia: Bellavista",33917,21116,43573,8100
178,2203,"San Martín, provincia: El Dorado",15613,21139,27995,6457
179,2204,"San Martín, provincia: Huallaga",13120,14386,22322,3694
180,2205,"San Martín, provincia: Lamas",45251,36270,63529,13329
181,2206,"San Martín, provincia: Mariscal Cáceres",40983,23643,52278,8406
182,2207,"San Martín, provincia: Picota",20105,20440,32496,5611
183,2208,"San Martín, provincia: Rioja",93510,29034,96741,18340
184,2209,"San Martín, provincia: San Martín",167116,25979,165631,17590
185,2210,"San Martín, provincia: Tocache",38243,31151,56296,9183
186,2301,"Tacna, provincia: Tacna",288875,17488,270263,23206
187,2302,"Tacna, provincia: Candarave",0,6102,5119,795
188,2303,"Tacna, provincia: Jorge Basadre",5111,5662,9557,795
189,2304,"Tacna, provincia: Tarata",2802,3292,5239,665
190,2401,"Tumbes, provincia: Tumbes",147678,7284,132389,14417
191,2402,"Tumbes, provincia: Contralmirante Villar",17157,3900,17797,2084
192,2403,"Tumbes, provincia: Zarumilla",45757,3087,40250,5457
193,2501,"Ucayali, provincia: Coronel Portillo",341162,43006,319347,40959
194,2502,"Ucayali, provincia: Atalaya",20314,29010,33301,11659
195,2503,"Ucayali, provincia: Padre Abad",40668,19439,47357,8811
196,2504,"Ucayali, provincia: Purús",0,2860,1969,695
